Sample in Buffer,Sample in Window,TRIGGER,system_i/system_ila_0/inst/net_slot_0_axis_tdata[127:0],system_i/system_ila_0/inst/net_slot_0_axis_tstrb[15:0],system_i/system_ila_0/inst/net_slot_0_axis_tvalid,system_i/system_ila_0/inst/net_slot_0_axis_tready,system_i/system_ila_0/inst/net_slot_0_axis_tlast,Interface_(i1:s0)_(Conn)[2:0],T_Channel_(i1:s0)_(Conn)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
113,113,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
114,114,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
115,115,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
116,116,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
117,117,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
118,118,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
119,119,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
120,120,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
121,121,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
122,122,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
123,123,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
124,124,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
125,125,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
126,126,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
127,127,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
128,128,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
129,129,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
130,130,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
131,131,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
132,132,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
133,133,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
134,134,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
135,135,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
136,136,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
137,137,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
138,138,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
139,139,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
140,140,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
141,141,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
142,142,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
143,143,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
144,144,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
145,145,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
146,146,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
147,147,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
148,148,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
149,149,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
150,150,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
151,151,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
152,152,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
153,153,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
154,154,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
155,155,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
156,156,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
157,157,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
158,158,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
159,159,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
160,160,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
161,161,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
162,162,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
163,163,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
164,164,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
165,165,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
166,166,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
167,167,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
168,168,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
169,169,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
170,170,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
171,171,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
172,172,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
173,173,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
174,174,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
175,175,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
176,176,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
177,177,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
178,178,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
179,179,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
180,180,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
181,181,0,ff90df95d26dd2d84e974e07df1bdf5a,ffff,1,0,0,"_","_"
